MS,MS Name,CCI,Title,Fund,Objective,Initially planned EU amount,De-commitments (n+2/n+3),De-commitments at closure,Net planned EU amount,Cumulative pre-financing,Cumulative recovery of pre-financing (at closure),Cumulative net pre-financing,Cumulative interim payments,Cumulative recovery of expenses (at closure),Cumulative net interim payments,Closure payments,Total closure recoveries,Total net payments,EU payment rate compared to initial planned EU amount
DE,Deutschland,2007DE051PO004,Operationelles Programm ESF Sachsen 2007-2013,ESF,Convergence,"871,859,914.00",0,"22,083,712.65","849,776,201.35","65,389,493.55",0,"65,389,493.55","762,877,424.75",0,"762,877,424.75","19,917,195.62",0,"848,184,113.92",97.28
SE,Sverige,2007SE162PO003,Västsverige,ERDF,Regional Competitiveness and Employment,"63,565,567.00",0,"795,444.10","62,770,122.90","4,767,417.53",0,"4,767,417.53","55,619,871.12",0,"55,619,871.12","2,382,834.25",0,"62,770,122.90",98.75
RO,Romania,2007RO06RPO001,Romania - National Rural Development Programme,EAFRD,,"8,124,198,744.53","26,926,813.53","368,966,347.99","7,728,305,583.01","568,693,912.14","537,236,495.70","31,457,416.44","7,123,714,422.31","25,636,992.98","7,098,077,429.33",0,"562,873,488.68","7,129,534,845.77",87.76
IT,Italia,2007IT162PO013,Por Umbria FESR,ERDF,Regional Competitiveness and Employment,"148,103,201.00",0,0,"148,103,201.00","11,248,191.75",0,"11,248,191.75","129,449,849.20",0,"129,449,849.20","7,405,160.05",0,"148,103,201.00",100
HU,Magyarország,2007HU14FPO001,Halászati Operatív Program a 2007-2013 közötti időszakra,EFF,Non Convergence,"559,503.00","107,390.00",0.23,"452,112.77","78,330.42",0,"78,330.42","302,986.28",0,"302,986.28","70,796.07",0,"452,112.77",80.81
FI,Suomi/Finland,2007FI14FPO001,Suomen elinkeinokalatalouden toimintaohjelma 2007-2013,EFF,Non Convergence,"39,448,827.00","957,480.00","644,560.56","37,846,786.44","2,761,417.89",0,"2,761,417.89","33,805,361.76",0,"33,805,361.76","1,202,752.19",0,"37,769,531.84",95.74
IT,Italia,2007IT162PO004,Por Lazio FESR 2007-2013,ERDF,Regional Competitiveness and Employment,"368,467,444.00",0,0,"368,467,444.00","27,881,725.35",0,"27,881,725.35","322,162,346.45",0,"322,162,346.45","18,423,372.20",0,"368,467,444.00",100
DE,Deutschland,2007DE052PO002,Operationelles Programm ESF Bayern 2007-2013,ESF,Regional Competitiveness and Employment,"310,059,703.00",0,0,"310,059,703.00","23,254,477.73",0,"23,254,477.73","271,302,240.12",0,"271,302,240.12","15,502,985.15",0,"310,059,703.00",100
MT,Malta,2007MT161PO001,Operational Programme I - Investing in Competitiveness for a Better Quality of Life,ERDF,Convergence,"443,978,031.00",0,0,"443,978,031.00","39,958,022.79",0,"39,958,022.79","381,821,106.66",0,"381,821,106.66","22,198,901.55",0,"443,978,031.00",100
CB,EU cross-border cooperation,2007CB163PO052,INTERREG IV A Italia/Austria,ERDF,European Territorial Cooperation,"60,074,668.00",0,0,"60,074,668.00","4,505,600.10",0,"4,505,600.10","52,565,334.50",0,"52,565,334.50","3,003,733.40",0,"60,074,668.00",100
UK,United Kingdom,2007UK161PO001,Highlands and Islands of Scotland ERDF phasing out Convergence programme,ERDF,Convergence,"121,862,392.00",0,"4,820,758.12","117,041,633.88","9,139,679.40",0,"9,139,679.40","106,629,593.00",0,"106,629,593.00","1,272,361.48",0,"117,041,633.88",96.04
IT,Italy,2007IT06RPO021,Sicilia - programma di sviluppo rurale 2007-2013,EAFRD,,"1,271,842,000.00",0,"21,995,144.61","1,249,846,855.39","89,544,070.00",0,"89,544,070.00","1,118,705,830.00",0,"1,118,705,830.00","41,596,955.39",0,"1,249,846,855.39",98.27
ES,España,2007ES052PO007,PO FSE CATALUÑA,ESF,Regional Competitiveness and Employment,"284,711,548.80","65,327,541.80","10,969,200.55","208,414,806.45","21,353,366.18","4,332,049.66","17,021,316.52","187,061,440.47","179,367.64","186,882,072.83",0,"4,511,417.30","203,903,389.35",71.62
CB,EU cross-border cooperation,2007CB163PO028,Botnia-Atlantica,ERDF,European Territorial Cooperation,"30,468,668.00",0,"1,523,433.40","28,945,234.60","2,285,150.10","745,918.10","1,539,232.00","26,660,084.50",0,"26,660,084.50",0,"745,918.10","28,199,316.50",92.55
PT,Portugal,2007PT16UPO001,PO Temático Valorização do Território 2007-2013,ERDF,Convergence,"1,282,578,698.00",0,0,"1,282,578,698.00","119,893,402.35",0,"119,893,402.35","1,098,556,360.75",0,"1,098,556,360.75","64,128,934.90",0,"1,282,578,698.00",100
UK,United Kingdom,2007UK052PO003,Northern Ireland ESF Regional Competitiveness and Employment programme,ESF,Regional Competitiveness and Employment,"189,777,300.00",0,"1,508,409.01","188,268,890.99","12,433,297.50",0,"12,433,297.50","167,855,137.50",0,"167,855,137.50","7,980,455.99",0,"188,268,890.99",99.21
FR,France,2007FR162PO020,Programme opérationnel FEDER PROVENCE ALPES COTE D´AZUR,ERDF,Regional Competitiveness and Employment,"302,234,812.00",0,0,"302,234,812.00","22,667,610.90",0,"22,667,610.90","264,455,460.50",0,"264,455,460.50","15,111,740.60",0,"302,234,812.00",100
CB,EU cross-border cooperation,2007CB163PO033,PO Italia-Francia frontiera marittima,ERDF,European Territorial Cooperation,"121,482,265.00",0,"509,682.05","120,972,582.95","9,111,169.88",0,"9,111,169.88","106,296,981.87",0,"106,296,981.87","5,564,431.20",0,"120,972,582.95",99.58
FI,Suomi/Finland,2007FI162PO004,Etelä-Suomen EAKR-toimenpideohjelma 2007-2013,ERDF,Regional Competitiveness and Employment,"138,063,117.00",0,0,"138,063,117.00","10,354,733.78",0,"10,354,733.78","120,805,227.37",0,"120,805,227.37","6,903,155.85",0,"138,063,117.00",100
UK,United Kingdom,2007UK161PO003,Cornwall and the Isles of Scilly ERDF Convergence programme,ERDF,Convergence,"458,056,615.00",0,"22,803,031.10","435,253,583.90","34,354,246.13",0,"34,354,246.13","400,799,538.12",0,"400,799,538.12","99,799.65",0,"435,253,583.90",95.02
NL,Nederland,2007NL052PO001,Operationeel Programma ESF 2007-2013,ESF,Regional Competitiveness and Employment,"830,002,737.00",0,0,"830,002,737.00","62,250,205.28",0,"62,250,205.28","726,252,394.87",0,"726,252,394.87","35,111,035.01",0,"823,613,635.16",99.23
PT,Portugal,2007PT161PO006,Programa Operacional dos Açores para a Convergência 2007-2013,ERDF,Convergence,"966,349,049.00",0,0,"966,349,049.00","72,476,178.68",0,"72,476,178.68","845,555,417.87",0,"845,555,417.87","48,317,452.45",0,"966,349,049.00",100
ES,Spain,2007ES06RPO003,Programme Développement Rural Asturias,EAFRD,,"306,336,451.00",0,"282,661.80","306,053,789.20","21,227,097.50",0,"21,227,097.50","269,792,530.95",0,"269,792,530.95","15,034,160.75",0,"306,053,789.20",99.91
CB,EU cross-border cooperation,2007CB163PO063,INTERREG IV France-Wallonie-Vlaanderen,ERDF,European Territorial Cooperation,"138,133,331.00",0,0,"138,133,331.00","10,359,999.83",0,"10,359,999.83","120,866,664.62",0,"120,866,664.62","6,906,666.55",0,"138,133,331.00",100
IT,Italy,2007IT06RAT001,Rete Rurale Nazionale,EAFRD,,"41,459,883.00",0,"313,902.70","41,145,980.30","2,902,191.80",0,"2,902,191.80","36,484,697.05",0,"36,484,697.05","1,759,091.45",0,"41,145,980.30",99.24
CZ,Ceska Republika,2007CZ05UPO001,OP Lidské zdroje a zaměstnanost,ESF,Convergence,"1,877,261,368.00",0,0,"1,877,261,368.00","163,066,119.48",0,"163,066,119.48","1,619,353,537.45",0,"1,619,353,537.45","94,841,711.07",0,"1,877,261,368.00",100
FR,France,2007FR162PO018,Programme opérationnel FEDER PICARDIE,ERDF,Regional Competitiveness and Employment,"201,493,631.00","2,912,475.00",0,"198,581,156.00","15,112,022.33",0,"15,112,022.33","173,540,075.87",0,"173,540,075.87","9,929,057.80",0,"198,581,156.00",98.55
FR,France,2007FR051PO002,Programme opérationnel FSE Guadeloupe,ESF,Convergence,"185,176,373.00",0,"986,679.29","184,189,693.71","13,888,227.98",0,"13,888,227.98","162,029,326.37",0,"162,029,326.37","8,272,139.36",0,"184,189,693.71",99.47
SI,Slovenija,2007SI161PO002,Operativni program razvoja okoljske in prometne infrastrukture za obdobje 2007 - 2013,ERDF,Convergence,"150,493,989.00",0,0,"150,493,989.00","20,162,689.74",0,"20,162,689.74","122,806,599.81",0,"122,806,599.81","7,524,699.45",0,"150,493,989.00",100
GR,Ellada,2007GR161PO004,Ενίσχυση της Προσπελασιμότητας,CF,Convergence,"2,197,160,864.00",0,0,"2,197,160,864.00","158,787,064.80",0,"158,787,064.80","2,038,373,799.20",0,"2,038,373,799.20",0,0,"2,197,160,864.00",100
ES,España,2007ES161PO008,Programa Operativo FEDER de Andalucía,ERDF,Convergence,"6,843,929,341.00",0,0,"6,843,929,341.00","513,294,700.58",0,"513,294,700.58","5,820,694,033.97",0,"5,820,694,033.97","509,940,606.45",0,"6,843,929,341.00",100
FR,France,2007FR162PO011,Programme opérationnel FEDER HAUTE-NORMANDIE,ERDF,Regional Competitiveness and Employment,"219,311,261.00",0,0,"219,311,261.00","16,448,344.58",0,"16,448,344.58","191,897,353.37",0,"191,897,353.37","10,965,563.05",0,"219,311,261.00",100
CZ,Ceska Republika,2007CZ161PO007,OP Doprava,ERDF,Convergence,"1,217,852,810.00",0,0,"1,217,852,810.00","105,339,928.50",0,"105,339,928.50","1,051,620,241.00",0,"1,051,620,241.00","60,892,640.50",0,"1,217,852,810.00",100
ES,Spain,2007ES06RPO010,PDR de Extremadura,EAFRD,,"886,243,235.00","57,963,282.00","14,247,418.01","814,032,534.99","61,464,671.94",0,"61,464,671.94","725,401,283.41",0,"725,401,283.41","27,166,579.64",0,"814,032,534.99",91.85
FR,France,2007FR06RPO003,Programme de développement rural Guadeloupe 2007-2013,EAFRD,,"143,148,000.00",0,"7,157,400.00","135,990,600.00","9,936,360.00","5,539,418.38","4,396,941.62","126,054,240.00","163,866.13","125,890,373.87",0,"5,703,284.51","130,287,315.49",91.02
UK,United Kingdom,2007UK162PO013,Gibraltar ERDF Regional Competitiveness and Employment programme,ERDF,Regional Competitiveness and Employment,"5,800,739.00",0,0,"5,800,739.00","435,055.43",0,"435,055.43","5,075,646.62",0,"5,075,646.62","290,036.95",0,"5,800,739.00",100
IE,Ireland,2007IE06RPO001,Rural Development Programme Ireland 2007 - 2013,EAFRD,,"2,494,540,590.00",0,"1,488,346.24","2,493,052,243.76","174,617,841.30",0,"174,617,841.30","2,195,195,719.20",0,"2,195,195,719.20","123,238,683.26",0,"2,493,052,243.76",99.94
PT,Portugal,2007PT05UPO002,PO Assistência Técnica FSE,ESF,Convergence,"72,729,937.00",0,0,"72,729,937.00","5,818,394.93",0,"5,818,394.93","63,275,045.22",0,"63,275,045.22","3,636,496.85",0,"72,729,937.00",100
EE,Eesti,2007EE161PO001,Operational Programme for the Development of Economic Environment,ERDF,Convergence,"937,646,003.00",0,0,"937,646,003.00","79,130,768.04",0,"79,130,768.04","811,632,934.81",0,"811,632,934.81","46,882,300.15",0,"937,646,003.00",100
IT,Italia,2007IT052PO003,Por Friuli Venezia Giulia FSE,ESF,Regional Competitiveness and Employment,"119,378,894.00",0,0,"119,378,894.00","9,026,669.18",0,"9,026,669.18","104,383,280.12",0,"104,383,280.12","5,968,944.70",0,"119,378,894.00",100
GR,Ellada,2007GR16UPO001,Θεσσαλία - Στερεά Ελλάδα - Ήπειρος,ERDF,Convergence,"738,000,000.00",0,0,"738,000,000.00","55,350,000.00",0,"55,350,000.00","682,650,000.00",0,"682,650,000.00",0,0,"738,000,000.00",100
ES,España,2007ES052PO002,PO FSE CASTILLA Y LEÓN,ESF,Regional Competitiveness and Employment,"125,276,907.00",0,"2,509,801.29","122,767,105.71","9,395,768.03",0,"9,395,768.03","109,617,293.62",0,"109,617,293.62","3,754,044.06",0,"122,767,105.71",98
CB,EU cross-border cooperation,2007CB163PO054,Operational Programme Slovenia-Austria 2007-2013,ERDF,European Territorial Cooperation,"67,111,477.00",0,"3,355,573.85","63,755,903.15","6,040,032.93","307,546.93","5,732,486.00","57,715,870.22","2,806.64","57,713,063.58",0,"310,353.57","63,445,549.58",94.54
FR,France,2007FR162PO010,Programme opérationnel FEDER FRANCHE-COMTE,ERDF,Regional Competitiveness and Employment,"146,789,783.00",0,0,"146,789,783.00","11,009,233.73",0,"11,009,233.73","128,441,060.12",0,"128,441,060.12","7,339,489.15",0,"146,789,783.00",100
LV,Latvija,2007LV161PO001,Entrepreneurship and Innovations,ERDF,Convergence,"696,281,634.00",0,0,"696,281,634.00","66,305,785.50",0,"66,305,785.50","595,161,766.80",0,"595,161,766.80","34,814,081.70",0,"696,281,634.00",100
PT,Portugal,2007PT05UPO001,PO Potencial Humano 2007-2013,ESF,Regional Competitiveness and Employment,"180,602,280.00",0,0,"180,602,280.00","13,508,927.70",0,"13,508,927.70","139,994,393.03",0,"139,994,393.03","27,098,959.27",0,"180,602,280.00",100
HU,Magyarország,2007HU14FPO001,Halászati Operatív Program a 2007-2013 közötti időszakra,EFF,Convergence,"34,291,357.00",0,"1,240,668.28","33,050,688.72","4,800,789.98",0,"4,800,789.98","27,824,189.82",0,"27,824,189.82","388,003.68",0,"33,012,983.48",96.27
FR,France,2007FR162PO015,Programme opérationnel FEDER LORRAINE,ERDF,Regional Competitiveness and Employment,"329,406,415.00",0,0,"329,406,415.00","24,705,481.13",0,"24,705,481.13","288,230,613.12",0,"288,230,613.12","16,470,320.75",0,"329,406,415.00",100
SI,Slovenia,2007SI06RPO001,RDP Slovenia,EAFRD,,"915,992,729.00",0,"3,102,003.29","912,890,725.71","64,119,491.03",0,"64,119,491.03","806,073,601.52",0,"806,073,601.52","42,697,633.16",0,"912,890,725.71",99.66
DE,Deutschland,2007DE161PO006,Operationelles Programm EFRE Niedersachsen - Region Lüneburg 2007-2013,ERDF,Convergence,"589,000,000.00",0,0,"589,000,000.00","44,175,000.00",0,"44,175,000.00","515,375,000.00",0,"515,375,000.00","29,450,000.00",0,"589,000,000.00",100
ES,España,2007ES051PO004,PO FSE GALICIA,ESF,Convergence,"358,501,812.00",0,0,"358,501,812.00","26,887,635.90",0,"26,887,635.90","313,689,085.50",0,"313,689,085.50","17,925,090.60",0,"358,501,812.00",100
FI,Finland,2007FI06RPO001,Manner-Suomen maaaseudun kehittämisohjelma,EAFRD,,"2,136,922,083.00",0,"34,144,261.66","2,102,777,821.34","149,584,545.81",0,"149,584,545.81","1,880,491,433.04",0,"1,880,491,433.04","72,701,842.49",0,"2,102,777,821.34",98.4
DE,Germany,2007DE06RPO009,Stadt Land Fluß - Plan der Freien und Hansestadt Hamburg für die Entwicklung des ländlichen Raums für den Zeitraum 2007-2013,EAFRD,,"24,728,547.15","3,502,409.15","1,061,306.80","20,164,831.20","1,870,998.29","389,558.86","1,481,439.43","18,293,832.76","3,866.28","18,289,966.48",0,"393,425.14","19,771,405.91",79.95
BG,Balgarija,2007BG14FPO001,OPERATIONAL PROGRAM “FISHERIES SECTOR DEVELOPMENT /2007 – 2013/” REPUBLIC OF BULGARIA,EFF,Convergence,"80,009,708.00","17,226,539.00","1,125,041.78","61,658,127.22","11,201,359.11",0,"11,201,359.11","48,442,651.44",0,"48,442,651.44",0,0,"59,644,010.55",74.55
CB,EU cross-border cooperation,2007CB163PO065,Grensregio Vlaanderen - Nederland - Operationeel programma ETS 2007-2013,ERDF,European Territorial Cooperation,"94,873,561.00",0,0,"94,873,561.00","7,115,517.08",0,"7,115,517.08","83,014,365.87",0,"83,014,365.87","4,743,678.05",0,"94,873,561.00",100
ES,España,2007ES052PO011,PO FSE LA RIOJA,ESF,Regional Competitiveness and Employment,"13,933,418.94","3,549,385.94","781,353.70","9,602,679.30","1,045,006.43","1,045,006.43",0,"8,557,672.71","25,614.12","8,532,058.59",0,"1,070,620.55","8,532,058.59",61.23
DE,Deutschland,2007DE162PO004,Operationelles Programm EFRE Berlin 2007-2013,ERDF,Regional Competitiveness and Employment,"875,589,810.00",0,0,"875,589,810.00","65,669,235.75",0,"65,669,235.75","766,141,083.75",0,"766,141,083.75","33,357,884.27",0,"865,168,203.77",98.81
BE,Belgique-België,2007BE162PO001,Programme opérationnel 'Compétitivité régionale et emploi' de la Région de Bruxelles-Capitale 'Cohésion et compétitivité territoriale' - FEDER,ERDF,Regional Competitiveness and Employment,"57,592,465.00","3,643,636.00",0,"53,948,829.00","4,319,434.88",0,"4,319,434.88","40,204,674.00",0,"40,204,674.00","9,424,720.12",0,"53,948,829.00",93.67
CB,EU cross-border cooperation,2007CB163PO001,Operationeel Programma Euregio Maas Rijn 2007-2013,ERDF,European Territorial Cooperation,"72,044,843.00",0,0,"72,044,843.00","5,403,363.23",0,"5,403,363.23","63,039,237.62",0,"63,039,237.62","3,602,242.15",0,"72,044,843.00",100
NL,Netherlands,2007NL06RPO001,Plattelandsontwikkelingsprogramma Nederland 2007-2013,EAFRD,,"593,197,167.00",0,"1,809,942.15","591,387,224.85","41,523,801.69",0,"41,523,801.69","522,013,506.96",0,"522,013,506.96","27,849,916.20",0,"591,387,224.85",99.69
IT,Italia,2007IT161PO002,"Programma Operativo Interregionale ""Energie rinnovabili e risparmio energetico"" 2007-2013",ERDF,Convergence,"803,893,176.00",0,0,"803,893,176.00","60,291,988.20",0,"60,291,988.20","703,406,529.00",0,"703,406,529.00","42,105,956.30",0,"805,804,473.50",100.24
GR,Ellada,2007GR161PO001,Ανταγωνιστικότητα και Επιχειρηματικότητα,ERDF,Convergence,"1,456,000,000.00",0,0,"1,456,000,000.00","96,825,000.00",0,"96,825,000.00","1,359,175,000.00",0,"1,359,175,000.00",0,0,"1,456,000,000.00",100
IT,Italia,2007IT161PO007,"PON ""Sicurezza per lo Sviluppo - Obiettivo Convergenza""  2007-2013",ERDF,Convergence,"579,040,437.00",0,0,"579,040,437.00","43,428,032.78",0,"43,428,032.78","506,660,382.37",0,"506,660,382.37","28,952,021.85",0,"579,040,437.00",100
ES,España,2007ES05UPO002,PO FSE LUCHA CONTRA LA DISCRIMINACION,ESF,Regional Competitiveness and Employment,"172,810,109.00",0,0,"172,810,109.00","12,960,758.18",0,"12,960,758.18","152,133,698.14",0,"152,133,698.14","7,715,652.68",0,"172,810,109.00",100
IE,Ireland,2007IE162PO002,Southern and Eastern Operational Programme,ERDF,Regional Competitiveness and Employment,"146,603,534.00",0,0,"146,603,534.00","10,995,265.05",0,"10,995,265.05","128,278,092.25",0,"128,278,092.25","7,330,176.70",0,"146,603,534.00",100
FR,France,2007FR051PO001,Programme opérationnel FSE Martinique,ESF,Convergence,"97,859,231.00",0,0,"97,859,231.00","7,339,442.33",0,"7,339,442.33","85,626,827.12",0,"85,626,827.12","4,892,961.55",0,"97,859,231.00",100
PL,Polska,2007PL161PO020,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,ERDF,Convergence,"1,070,550,290.00",0,0,"1,070,550,290.00","93,288,783.69",0,"93,288,783.69","923,733,991.81",0,"923,733,991.81","53,527,514.50",0,"1,070,550,290.00",100
CY,Kypros,2007CY14FPO001,Fisheries,EFF,Non Convergence,"19,724,418.00",0,0,"19,724,418.00","2,761,418.52",0,"2,761,418.52","15,976,778.58",0,"15,976,778.58","986,220.90",0,"19,724,418.00",100
CB,EU cross-border cooperation,2007CB163PO067,Hungary-Romania Cross-border Co-operation Programme 2007-2013,ERDF,European Territorial Cooperation,"224,474,935.00",0,"2,379,631.33","222,095,303.67","20,202,744.15",0,"20,202,744.15","193,048,444.10",0,"193,048,444.10","8,418,110.21",0,"221,669,298.46",98.75
HU,Magyarország,2007HU161PO007,Operational Programme for Transport,CF,Convergence,"4,322,760,931.00",0,0,"4,322,760,931.00","568,046,009.37",0,"568,046,009.37","3,538,576,875.08",0,"3,538,576,875.08","174,316,668.63",0,"4,280,939,553.08",99.03
UK,United Kingdom,2007UK162PO002,South East England ERDF Regional Competitiveness and Employment programme,ERDF,Regional Competitiveness and Employment,"23,706,375.00","2,550,248.00","1,057,806.35","20,098,320.65","1,777,978.13","17,056.11","1,760,922.02","18,320,342.52","968,753.18","17,351,589.34",0,"985,809.29","19,112,511.36",80.62
DE,Deutschland,2007DE161PO004,Operationelles Programm EFRE Sachsen 2007-2013,ERDF,Convergence,"3,091,139,706.00",0,"41,070,872.47","3,050,068,833.53","231,835,477.95",0,"231,835,477.95","2,704,747,242.75",0,"2,704,747,242.75","60,465,271.86",0,"2,997,047,992.56",96.96
ES,España,2007ES161PO004,Programa Operativo FEDER de Asturias,ERDF,Convergence,"395,215,192.00",0,0,"395,215,192.00","29,641,139.40",0,"29,641,139.40","345,813,293.00",0,"345,813,293.00","19,760,759.60",0,"395,215,192.00",100
HR,Hrvatska,2007HR051PO001,Human Resources Development 2007 - 2013,ESF,Convergence,"154,421,999.40","2,008,893.40","3,004,801.54","149,408,304.46","30,133,500.00",0,"30,133,500.00","114,658,950.70",0,"114,658,950.70","4,615,854.36",0,"149,408,305.06",96.75
FI,Suomi/Finland,2007FI052PO001,Manner-Suomen ESR-toimenpideohjelma 2007–2013 EU:n alueellinen kilpailukyky- ja työllisyystavoite,ESF,Regional Competitiveness and Employment,"615,438,512.00",0,0,"615,438,512.00","46,157,888.40",0,"46,157,888.40","538,508,698.00",0,"538,508,698.00","30,771,925.60",0,"615,438,512.00",100
IT,Italy,2007IT06RPO006,Programma regionale di Sviluppo Rurale 2007-2013 - Regione Liguria,EAFRD,,"114,621,000.00",0,"123,426.84","114,497,573.16","8,072,750.00",0,"8,072,750.00","100,817,200.00",0,"100,817,200.00","5,607,623.16",0,"114,497,573.16",99.89
SK,Slovenska Republica,2007SK161PO002,OP Environment,ERDF,Convergence,"250,756,935.00",0,"12,537,846.75","238,219,088.25","20,768,124.15","1,691,704.02","19,076,420.13","217,450,964.10",0,"217,450,964.10",0,"1,691,704.02","236,527,384.23",94.33
